key,category,description,duration,durationInVehicle,location,timestamp,userID,username,date
-KiGy_L5h0kZJZr11bs5,Check Out,Vehicle is checked out by Talus.,0,0,,514495554,prj01kwKCoRQG80s6NJrUD3uK9p1,Talus,2017-04-21 15:25:54
-KiGy_L7_iYNXGZAjCZt,To Work,Description of the activity...,1039293,256733,Work,514495554,prj01kwKCoRQG80s6NJrUD3uK9p1,Talus,2017-04-21 15:25:54
-KjEv9uEVJCVPvzDObzD,To Work,Description of the activity...,5696,1889,Work,515534847,prj01kwKCoRQG80s6NJrUD3uK9p1,Talus,2017-05-03 16:07:27
-KjFFtoQ0az9I-iRsJus,Visit Friends,Description of the activity...,78046,9192,Restaurant,515540543,prj01kwKCoRQG80s6NJrUD3uK9p1,Talus,2017-05-03 17:42:23
-KjJubyS_r52DRwKQCAB,To Work,Description of the activity...,6314,25,Work,515618589,prj01kwKCoRQG80s6NJrUD3uK9p1,Talus,2017-05-04 15:23:09
-KjKHhQomhOoaud-hKK2,To Home,Description of the activity...,2904901,229248,Home,515624903,prj01kwKCoRQG80s6NJrUD3uK9p1,Talus,2017-05-04 17:08:23
